'id_car_model','id_car_make','name','date_create','date_update','id_car_type'
'456','45','Sovereign (XJ6)','1398994514','1461509824','1'
'457','45','X300','1398994514','1461509824','1'
'458','45','X308','1398994514','1461509824','1'
'459','45','X350','1398994514','1461509824','1'
'460','45','XJ40','1398994514','1434656546','1'
'461','45','XJS','1398994514','1434656548','1'
'462','46','Fun','1398994515','1567848179','1'
'463','47','280ZX','1398994516','1434656582','1'
'464','47','720','1398994516','1434656584','1'
'465','47','Bluebird','1398994516','1567848184','1'
'466','47','Cherry','1398994516','1567848185','1'
'467','47','GO','1398994516','1567848186','1'
'469','47','on-DO','1398994516','1567848188','1'
'470','47','Stanza','1398994516','1567848190','1'
'471','47','Sunny','1398994516','1567848190','1'
'472','47','Violet','1398994516','1434656596','1'
'473','48','Bigua','1398994517','1567848191','1'
'474','48','Guara','1398994517','1567848192','1'
'475','48','Mangusta','1398994517','1567848192','1'
'476','48','Pantera','1398994517','1461509825','1'
'477','48','Vallelunga','1398994517','1461509825','1'
'478','49','DMC-12','1398994518','1567848193','1'
'479','50','Antelope','1398994518','1567848193','1'
'480','50','Aurora','1398994518','1567848194','1'
'481','50','Cowboy','1398994518','1567848195','1'
'482','50','Land Crown','1398994519','1567848195','1'
'483','50','Plutus','1398994519','1567848196','1'
'484','50','Saladin','1398994519','1567848197','1'
'485','50','Shuttle','1398994519','1567848197','1'
'486','51','600','1398997805','1567848200','1'
'487','51','Aries','1398997805','1567848201','1'
'488','51','Avenger','1398997805','1567848202','1'
'489','51','Caliber','1398997805','1567848204','1'
'490','51','Caravan','1398997805','1567848204','1'
'491','51','Challenger','1398997805','1567848205','1'
'492','51','Charger','1398997805','1567848206','1'
'493','51','Dakota','1398997805','1567848208','1'
'494','51','Dart','1398997805','1567848209','1'
'495','51','Daytona','1398997805','1567848209','1'
'496','51','Durango','1398997805','1567848210','1'
'497','51','Dynasty','1398997805','1567848211','1'
'499','51','Intrepid','1398997805','1567848212','1'
'500','51','Journey','1398997805','1567848213','1'
'501','51','Magnum','1398997805','1567848214','1'
'502','51','Monaco','1398997805','1567848216','1'
'503','51','Neon','1398997805','1567848217','1'
'504','51','Nitro','1398997805','1567848218','1'
'505','51','Omni','1398997805','1567848218','1'
'506','51','Ram','1398997805','1567848221','1'
'507','51','Ramcharger','1398997805','1567848222','1'
'508','51','Shadow','1398997805','1567848225','1'
'509','51','Spirit','1398997805','1567848225','1'
'510','51','Stealth','1398997805','1567848226','1'
'511','51','Stratus','1398997805','1567848227','1'
'512','51','Viper','1398997805','1567848228','1'
'513','52','H30','1398997806','1567848234','1'
'514','52','MPV','1398997806','1567848235','1'
'515','52','Oting','1398997806','1567848236','1'
'516','52','Rich','1398997806','1567848236','1'
'517','53','Assol','1398997807','1567848238','1'
'518','53','Condor','1398997807','1567848238','1'
'519','53','Orion','1398997807','1567848239','1'
'520','54','D8','1398997808','1434656710','1'
'521','55','GD04B','1398997808','1461509829','1'
'522','56','Premier','1398997809','1567848240','1'
'523','56','Summit','1398997809','1567848241','1'
'524','56','Talon','1398997809','1567848241','1'
'525','56','Vision','1398997809','1567848242','1'
'526','57','SS','1398997810','1461509830','1'
'528','59','Audi A6','1398997811','1567848244','1'
'529','59','Audi 100','1398997811','1567848243','1'
'530','59','Besturn B50','1398997811','1567848245','1'
'531','59','Besturn B70','1398997811','1567848245','1'
'532','59','Volkswagen Bora','1398997811','1567848257','1'
'533','59','Volkswagen City Golf','1398997811','1567848258','1'
'534','59','Volkswagen Jetta','1398997811','1567848259','1'
'535','59','Jinn','1398997811','1567848250','1'
'536','59','Oley','1398997811','1567848252','1'
'537','59','V2','1398997811','1567848254','1'
'538','59','V5','1398997811','1567848255','1'
'539','59','Vita','1398997811','1567848256','1'
'540','60','208','1398997812','1567848261','1'
'541','60','328','1398997812','1567848263','1'
'542','60','348','1398997812','1567848264','1'
'543','60','360','1398997812','1567848264','1'
'544','60','400','1398997812','1567848266','1'
'545','60','412','1398997812','1434656739','1'
'546','60','456','1398997812','1567848266','1'
'547','60','458','1398997812','1567848267','1'
'548','60','512 BB','1398997812','1461509831','1'
'549','60','512 M','1398997812','1461509831','1'
'550','60','512 TR','1398997813','1461509831','1'
'551','60','550','1398997813','1567848268','1'
'552','60','575','1398997813','1567848268','1'
'553','60','599','1398997813','1567848269','1'
'554','60','612 Scaglietti','1398997813','1567848270','1'
'555','60','California','1398997813','1567848272','1'
'556','60','Enzo','1398997813','1567848272','1'
'557','60','F12berlinetta','1398997813','1567848273','1'
'558','60','F355','1398997813','1567848273','1'
'559','60','F40','1398997813','1567848274','1'
'560','60','F430','1398997813','1567848274','1'
'561','60','F50','1398997813','1567848275','1'
'562','60','FF','1398997813','1567848276','1'
'563','60','LaFerrari','1398997813','1567848278','1'
'564','60','Mondial','1398997813','1567848278','1'
'565','60','Testarossa','1398997813','1567848280','1'
'566','61','124','1399001706','1567848282','1'
'567','61','126','1399001706','1567848282','1'
'568','61','127','1399001706','1567848283','1'
'569','61','128','1399001706','1567848284','1'
'570','61','130','1399001706','1567848284','1'
'571','61','131','1399001706','1567848285','1'
'572','61','132','1399001706','1567848286','1'
'573','61','238','1399001706','1567848290','1'
'574','61','500','1399001706','1567848290','1'
'575','61','500L','1399001706','1567848291','1'
'576','61','600','1399001706','1567848291','1'
'577','61','900T','1399001706','1540420506','1'
'578','61','Albea','1399001706','1567848293','1'
'579','61','Argenta','1399001706','1567848293','1'
'580','61','Barchetta','1399001706','1567848294','1'
'581','61','Brava','1399001706','1567848295','1'
'582','61','Bravo','1399001706','1567848295','1'
'583','61','Cinquecento','1399001706','1567848297','1'
'584','61','Coupe','1399001706','1567848297','1'
'585','61','Croma','1399001706','1567848298','1'
'586','61','Doblo','1399001706','1567848301','1'
'587','61','Duna','1399001706','1567848302','1'
'588','61','Fiorino','1399001706','1567848302','1'
'589','61','Freemont','1399001706','1567848303','1'
'590','61','Idea','1399001706','1567848305','1'
'591','61','Linea','1399001706','1567848305','1'
'592','61','Marea','1399001706','1567848306','1'
'593','61','Multipla','1399001706','1567848308','1'
'594','61','Palio','1399001706','1567848308','1'
'595','61','Panda','1399001706','1567848309','1'
'596','61','Punto','1399001706','1567848311','1'
'597','61','Qubo','1399001706','1567848312','1'
'598','61','Regata','1399001706','1567848312','1'
'599','61','Ritmo','1399001706','1567848313','1'
'600','61','Sedici','1399001706','1567848314','1'
'601','61','Seicento','1399001706','1567848315','1'
'602','61','Siena','1399001706','1567848315','1'
'603','61','Stilo','1399001706','1567848317','1'
'604','61','Strada','1399001706','1567848317','1'
'605','61','Tempra','1399001706','1567848318','1'
'606','61','Tipo','1399001706','1567848319','1'
'607','61','Ulysse','1399001706','1567848320','1'
'608','61','Uno','1399001706','1567848321','1'
'609','61','X1/9','1399001706','1567848322','1'
'610','62','Karma','1399001707','1567848323','1'
'611','63','Aerostar','1399001708','1567848323','1'
'612','63','Aspire','1399001708','1567848325','1'
'613','63','B-MAX','1399001708','1540418978','1'
'614','63','Bronco','1399001708','1567848326','1'
'615','63','C-Max','1399001708','1567848328','1'
'616','63','Capri','1399001708','1567848327','1'
'617','63','Consul','1399001708','1567848329','1'
'618','63','Contour','1399001708','1567848330','1'
'619','63','Cougar','1399001708','1567848332','1'
'620','63','Crown Victoria','1399001708','1567848334','1'
'621','63','Econoline','1399001708','1567848336','1'
'622','63','EcoSport','1399001708','1567848337','1'
'623','63','Edge','1399001708','1567848338','1'
'624','63','Escape','1399001708','1567848339','1'
'625','63','Escort (North America)','1399001708','1559811470','1'
'626','63','Escort','1399001708','1567848340','1'
'627','63','Everest','1399001708','1567848341','1'
'628','63','Excursion','1399001708','1567848342','1'
'629','63','Expedition','1399001708','1567848343','1'
'630','63','Explorer','1399001708','1567848343','1'
'631','63','F-150','1399001708','1461509882','1'
'632','63','Fairmont','1399001708','1567848345','1'
'633','63','Festiva','1399001708','1567848346','1'
'634','63','Fiesta','1399001708','1567848347','1'
'635','63','Five Hundred','1399001708','1567848349','1'
'636','63','Flex','1399001709','1567848349','1'
'637','63','Focus','1399001709','1567848350','1'
'638','63','Freestar','1399001709','1567848351','1'
'639','63','Freestyle','1399001709','1567848352','1'
'640','63','Fusion (North America)','1399001709','1555507554','1'
'641','63','Fusion','1399001709','1567848353','1'
'642','63','Galaxy','1399001709','1567848354','1'
'643','63','Granada (North America)','1399001709','1557493691','1'
